127.0.0.1 - - [13/Mar/2023:18:38:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:38:21 +0530] "GET /ToDoApp/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:38:21 +0530] "GET /ToDoApp/home HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:38:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:38:23 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:38:24 +0530] "GET /ToDoApp/home HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:38:25 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:38:26 +0530] "GET /ToDoApp/home HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:38:26 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:38:28 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:38:28 +0530] "GET /ToDoApp/home HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:38:29 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:47:44 +0530] "GET /ToDoApp/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:47:45 +0530] "GET /ToDoApp/home HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:48:17 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:48:34 +0530] "POST /ToDoApp/saveTodo HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:48:38 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:48:47 +0530] "POST /ToDoApp/saveTodo HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:48:48 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:48:57 +0530] "POST /ToDoApp/saveTodo HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:49:00 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:49:06 +0530] "GET /ToDoApp/home HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:49:11 +0530] "GET /ToDoApp/home HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [13/Mar/2023:18:49:29 +0530] "GET /ToDoApp/home HTTP/1.1" 200 2502
